epoch,error
0,49.19777243301205
1,46.331483738419635
2,44.56521256280425
3,42.60413334588568
4,40.62565234795707
5,38.61593563529239
6,36.36216910483912
7,33.556822356907595
8,30.11277259196718
9,26.520533323036336
10,23.413773124201505
11,21.066144974392365
12,19.42627394840849
13,18.31641951927516
14,17.56606215180981
15,17.051377420866373
16,16.691013859087747
17,16.433106268284345
18,16.24456951968699
19,16.104006817095502
20,15.997317148206845
21,15.915017078009347
22,15.850599226676977
23,15.799511881405115
24,15.758513478806647
25,15.725256584326099
26,15.698014782922401
27,15.675500161590309
28,15.656739242449907
29,15.640987280313508
30,15.627668157643342
31,15.616331627202236
32,15.606622486691569
33,15.598258075956043
34,15.591011656297837
35,15.58469999909853
36,15.57917402216523
37,15.574311657232014
38,15.5700123678711
39,15.566192900216999
40,15.562783963081992
41,15.559727614820302
42,15.556975192044657
43,15.55448565698792
44,15.552224270682817
45,15.550161521466896
46,15.548272254879992
47,15.546534963398189
48,15.544931203767781
49,15.543445116773345
50,15.542063029673628
51,15.540773125690203
52,15.539565168145542
53,15.538430269346508
54,15.537360696264674
55,15.536349706604739
56,15.535391410068879
57,15.534480650593135
58,15.53361290610393
59,15.53278420296333
60,15.531991042770274
61,15.531230339589934
62,15.530499366010604
63,15.529795706695502
64,15.529117218316088
65,15.528461994932508
66,15.527828338036072
67,15.527214730590218
68,15.52661981450884
69,15.526042371095489
70,15.52548130403707
71,15.524935624606002
72,15.524404438773482
73,15.523886935979647
74,15.523382379340923
75,15.522890097106147
76,15.52240947519771
77,15.521939950696678
78,15.521481006149312
79,15.521032164588597
80,15.520592985178432
81,15.520163059399879
82,15.519742007709842
83,15.51932947661056
84,15.518925136077469
85,15.51852867729867
86,15.518139810685657
87,15.517758264120424
88,15.51738378140806
89,15.517016120908162
90,15.51665505432219
91,15.516300365616122
92,15.515951850061398
93,15.51560931337844
94,15.515272570970076
95,15.51494144723304
96,15.514615774937814
97,15.514295394668277
98,15.513980154313824
99,15.513669908607328
100,15.513364518703638
101,15.51306385179374
102,15.512767780750599
103,15.512476183802884
104,15.512188944233744
105,15.511905950101797
106,15.51162709398216
107,15.51135227272547
108,15.511081387233036
109,15.510814342246956
110,15.510551046153381
111,15.510291410798292
112,15.510035351314286
113,15.509782785957933
114,15.5095336359565
115,15.509287825363648
116,15.509045280923125
117,15.508805931940461
118,15.50856971016145
119,15.508336549657423
120,15.508106386716756
121,15.50787915974229
122,15.507654809154095
123,15.507433277297507
124,15.507214508356055
125,15.506998448268865
126,15.50678504465244
127,15.506574246726597
128,15.506366005244018
129,15.50616027242375
130,15.505957001887863
131,15.505756148601478
132,15.505557668815875
133,15.505361520014475
134,15.505167660861522
135,15.50497605115337
136,15.50478665177235
137,15.504599424642738
138,15.504414332689093
139,15.504231339796611
140,15.504050410773408
141,15.503871511314735
142,15.503694607968903
143,15.503519668104882
144,15.50334665988148
145,15.503175552218094
146,15.503006314766592
147,15.502838917884977
148,15.502673332611945
149,15.502509530642792
150,15.502347484306439
151,15.502187166543552
152,15.502028550885676
153,15.501871611435266
154,15.501716322846745
155,15.50156266030834
156,15.50141059952476
157,15.501260116700745
158,15.501111188525151
159,15.50096379215594
160,15.500817905205775
161,15.500673505728118
162,15.50053057220416
163,15.500389083530044
164,15.500249019004928
165,15.500110358319253
166,15.499973081543738
167,15.49983716911873
168,15.49970260184395
169,15.499569360868778
170,15.499437427682818
171,15.49930678410684
